,Vec_Gram,Classifier,Ac,crossval_train_score_mean,crossval_test_score_mean,crossval_train_score_std,crossval_test_score_std,Time.2
0,cv_1,MultinomialNB(),0.6678571428571428,0.7934244168254854,0.7104494735187804,0.0019536375574708983,0.026873454668157923,2.0675950050354004
1,cv_1,BernoulliNB(),0.7321428571428571,0.8400343832798773,0.7405492692126355,0.002353127088372254,0.024560487679094547,1.891118049621582
2,cv_1,LogisticRegression(),0.75,0.8487049109840562,0.7561971554298287,0.0017833469093752436,0.02064276525638703,2.860166549682617
3,cv_1,LinearSVC(),0.8035714285714286,0.9887546386680921,0.8108561213264183,0.000855010793507581,0.018430021474182923,2.4495790004730225
4,cv_1,AdaBoostClassifier(),0.6214285714285714,0.7104376714079859,0.691629341505579,0.008121810392896205,0.01834223798944676,8.002360582351685
5,cv_1,RidgeClassifier(),0.7785714285714286,0.9673863187375076,0.8043214678610718,0.0012852293832373632,0.023229731190814795,3.6118521690368652
6,cv_1,PassiveAggressiveClassifier(),0.8071428571428572,0.9943223574117974,0.8106569228351408,0.000952776518490791,0.013121941759241492,2.357724666595459
7,cv_1,Perceptron(),0.8107142857142857,0.9858497768790965,0.8055091937765205,0.0025816204281704723,0.014425577818001096,2.1941568851470947
8,cv_1,RandomForest Classifier,0.7285714285714285,0.991549470087854,0.77500785792865,0.0008128856762588146,0.018861248248698184,4.950767755508423
9,cv_2,MultinomialNB(),0.6607142857142857,0.8341805536187421,0.7078728587144428,0.00234213346995466,0.022855701664675716,4.378786087036133
10,cv_2,BernoulliNB(),0.6892857142857143,0.8468563775391624,0.7094550526481219,0.001877663435379741,0.018366045438667822,4.774335622787476
11,cv_2,LogisticRegression(),0.725,0.856253094059406,0.7488696369636964,0.0022002757739922746,0.021642719441867627,5.769717693328857
12,cv_2,LinearSVC(),0.8,0.9987016135592433,0.8201658022945152,0.0004227399735278904,0.02109408514369063,5.069873094558716
13,cv_2,AdaBoostClassifier(),0.6607142857142857,0.7084567616092595,0.6777659908848027,0.01124693244061434,0.028835566849119493,15.590885639190674
14,cv_2,RidgeClassifier(),0.8035714285714286,0.994278299748989,0.8102632406097753,0.0007231855318666968,0.01872603403376942,6.969390392303467
15,cv_2,PassiveAggressiveClassifier(),0.8035714285714286,0.9995158595965231,0.8251170831368851,0.00027485856879435087,0.01937649569640526,4.5561535358428955
16,cv_2,Perceptron(),0.7821428571428571,0.9979313719224034,0.8116485934307717,0.0006393695152974848,0.02553187245680995,4.648384094238281
17,cv_2,RandomForest Classifier,0.7428571428571429,0.992253690597933,0.7696597516894547,0.0014118904919040822,0.016345846442987564,9.22929573059082
18,cv_3,MultinomialNB(),0.6678571428571428,0.8650557947520104,0.7108427628477132,0.0013077616117079414,0.02109470862150848,7.144264459609985
19,cv_3,BernoulliNB(),0.6571428571428571,0.8294052046049675,0.690044790193305,0.0023024360666706015,0.01828267108486582,7.67181134223938
20,cv_3,LogisticRegression(),0.7071428571428572,0.8493870566634127,0.7421369636963696,0.0021405584638215782,0.021575427996360915,9.679624319076538
21,cv_3,LinearSVC(),0.7964285714285714,0.9992517799315144,0.8187804494735188,0.0002450496219886631,0.0224983253270064,8.482621908187866
22,cv_3,AdaBoostClassifier(),0.65,0.7048038492229505,0.6724229922992299,0.0070635183368931,0.033237626261136605,24.414039611816406
23,cv_3,RidgeClassifier(),0.7964285714285714,0.9963909225429586,0.8118477919220494,0.0006393522163349876,0.020489572931734673,10.701899290084839
24,cv_3,PassiveAggressiveClassifier(),0.8,0.9994058243852553,0.8249202420242024,0.00022116370548441443,0.022341492990238642,7.2085511684417725
25,cv_3,Perceptron(),0.7964285714285714,0.9987896514123245,0.8130343391482006,0.0004745118518415635,0.02073562275737893,7.122584819793701
26,cv_3,RandomForest Classifier,0.7571428571428571,0.9917035290676954,0.7577809209492378,0.001233366706482182,0.019326833519489005,15.328965187072754
27,tf_1,MultinomialNB(),0.7392857142857143,0.8577275949425929,0.7496609303787521,0.0020632043636686424,0.02919837577334232,1.917689561843872
28,tf_1,BernoulliNB(),0.7321428571428571,0.8400343832798773,0.7405492692126355,0.002353127088372254,0.024560487679094547,1.9673962593078613
29,tf_1,LogisticRegression(),0.8107142857142857,0.9787637174809032,0.8124406726386925,0.0009694529635023884,0.017553400035307826,3.0027313232421875
30,tf_1,LinearSVC(),0.8107142857142857,0.9987016135592433,0.8122402954581173,0.0002076109601366067,0.011936059661360444,5.074499845504761
31,tf_1,AdaBoostClassifier(),0.6678571428571428,0.7120662700072824,0.6940047933364764,0.004694978252712201,0.017488846729423704,6.009575605392456
32,tf_1,RidgeClassifier(),0.7535714285714286,0.9906472200917275,0.7847112211221122,0.0008009808861257888,0.013727748955902005,10.099798440933228
33,tf_1,PassiveAggressiveClassifier(),0.8071428571428572,0.9838691672864469,0.8059048404840483,0.0019138015236260097,0.0148118489238278,2.156219244003296
34,tf_1,Perceptron(),0.7964285714285714,0.9577473988596041,0.7851104038975326,0.010031486943830437,0.020901238673588635,2.2053592205047607
35,tf_1,RandomForest Classifier,0.7821428571428571,0.9926278151582764,0.7726296558227251,0.0010791542049683927,0.016184043993922727,5.332983016967773
36,tf_2,MultinomialNB(),0.775,0.940956495297417,0.7779840484048405,0.0019432877719182105,0.02575254868325268,4.323691129684448
37,tf_2,BernoulliNB(),0.6892857142857143,0.8468563775391624,0.7094550526481219,0.001877663435379741,0.018366045438667822,4.8888068199157715
38,tf_2,LogisticRegression(),0.8214285714285714,0.9988556434868838,0.8245222379380795,0.00042674836386842667,0.01922196286404794,7.9612135887146
